OrganisationID¬OrganisationCode¬OrganisationName¬MetricName¬Value¬Text
18082¬NLL04¬Launceston General Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18083¬NLL07¬Liskeard Community Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18085¬NLL09¬Stratton Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18090¬NLL16¬Falmouth Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18093¬NLL19¬Poltair Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18095¬NLL21¬St Mary's Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18102¬NLT02¬North Somerset Community Hospital¬A&E performance¬100.00%¬Patients seen within 4 hours
18102¬NLT02¬North Somerset Community Hospital¬Percentage of patients waiting less than 18 weeks¬99%¬99% of patients waiting less than 18 weeks from referral
18102¬NLT02¬North Somerset Community Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18142¬NMV01¬Kneesworth House¬Care Quality Commission inspection ratings¬2¬Good
18142¬NMV01¬Kneesworth House¬Care Quality Commission inspection ratings¬2¬Good
18142¬NMV01¬Kneesworth House¬Care Quality Commission inspection ratings¬2¬Good
18143¬NMV02¬Stockton Hall Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18143¬NMV02¬Stockton Hall Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18143¬NMV02¬Stockton Hall Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18271¬NQ106¬Fryatt Hospital, Harwich¬A&E performance¬100.00%¬Patients seen within 4 hours
18354¬NT206¬Nuffield Health, Bristol Hospital (Chesterfield)¬Percentage of patients waiting less than 18 weeks¬96%¬96% of patients waiting less than 18 weeks from referral
18354¬NT206¬Nuffield Health, Bristol Hospital (Chesterfield)¬Friends and Family Test score: Inpatient¬97%¬Patients recommend this hospital. 31 responses
18354¬NT206¬Nuffield Health, Bristol Hospital (Chesterfield)¬Friends and Family Test score: Inpatient¬97%¬Patients recommend this hospital. 31 responses
18354¬NT206¬Nuffield Health, Bristol Hospital (Chesterfield)¬Patients assessed for blood clots¬95.99¬95.99% of patients assessed
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Care Quality Commission inspection ratings¬1¬Outstanding
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Care Quality Commission inspection ratings¬1¬Outstanding
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Care Quality Commission inspection ratings¬1¬Outstanding
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Percentage of patients waiting less than 18 weeks¬97%¬97% of patients waiting less than 18 weeks from referral
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 22 responses
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 22 responses
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Health Improvement following hip replacement:  Condition specific quality of life questionnaire¬¬As expected
18356¬NT209¬Nuffield Health, Cambridge Hospital¬Health Improvement following knee replacement: Condition specific quality of life questionnaire¬¬As expected
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Care Quality Commission inspection ratings¬2¬Good
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Care Quality Commission inspection ratings¬2¬Good
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Care Quality Commission inspection ratings¬2¬Good
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Choice of breakfast¬1¬Amongst the best
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Choice of food¬95.88%¬95.88% Amongst the best
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Food available between meals¬1¬
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Fresh fruit available¬1¬
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Percentage of patients waiting less than 18 weeks¬100%¬100% of patients waiting less than 18 weeks from referral
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 23 responses
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 23 responses
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Menu approved by dietitian¬1¬
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Health Improvement following hip replacement:  Condition specific quality of life questionnaire¬¬As expected
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Health Improvement following knee replacement: Condition specific quality of life questionnaire¬¬As expected
18357¬NT210¬Nuffield Health, The Grosvenor Hospital, Chester¬Quality of food¬89.95%¬89.95% Amongst the best
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Care Quality Commission inspection ratings¬2¬Good
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Care Quality Commission inspection ratings¬2¬Good
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Care Quality Commission inspection ratings¬2¬Good
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Choice of breakfast¬1¬Amongst the best
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Choice of food¬99.78%¬99.78% Amongst the best
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Food available between meals¬1¬
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Fresh fruit available¬1¬
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Percentage of patients waiting less than 18 weeks¬100%¬100% of patients waiting less than 18 weeks from referral
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Menu approved by dietitian¬1¬
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Patients assessed for blood clots¬100¬100% of patients assessed
18358¬NT211¬Nuffield Health, Cheltenham Hospital¬Quality of food¬95.32%¬95.32% Amongst the best
18359¬NT212¬Nuffield Health, Chichester Hospital¬Care Quality Commission inspection ratings¬2¬Good
18359¬NT212¬Nuffield Health, Chichester Hospital¬Care Quality Commission inspection ratings¬2¬Good
18359¬NT212¬Nuffield Health, Chichester Hospital¬Care Quality Commission inspection ratings¬2¬Good
18359¬NT212¬Nuffield Health, Chichester Hospital¬Choice of breakfast¬1¬Amongst the best
18359¬NT212¬Nuffield Health, Chichester Hospital¬Choice of food¬91.24%¬91.24% Amongst the best
18359¬NT212¬Nuffield Health, Chichester Hospital¬Food available between meals¬2¬
18359¬NT212¬Nuffield Health, Chichester Hospital¬Fresh fruit available¬1¬
18359¬NT212¬Nuffield Health, Chichester Hospital¬Percentage of patients waiting less than 18 weeks¬96%¬96% of patients waiting less than 18 weeks from referral
18359¬NT212¬Nuffield Health, Chichester Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 21 responses
18359¬NT212¬Nuffield Health, Chichester Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 21 responses
18359¬NT212¬Nuffield Health, Chichester Hospital¬Menu approved by dietitian¬1¬
18359¬NT212¬Nuffield Health, Chichester Hospital¬Patients assessed for blood clots¬100¬100% of patients assessed
18359¬NT212¬Nuffield Health, Chichester Hospital¬Quality of food¬89.11%¬89.11% Amongst the best
18360¬NT213¬Nuffield Health, Derby Hospital¬Care Quality Commission inspection ratings¬2¬Good
18360¬NT213¬Nuffield Health, Derby Hospital¬Care Quality Commission inspection ratings¬2¬Good
18360¬NT213¬Nuffield Health, Derby Hospital¬Care Quality Commission inspection ratings¬2¬Good
18360¬NT213¬Nuffield Health, Derby Hospital¬Choice of breakfast¬1¬Amongst the best
18360¬NT213¬Nuffield Health, Derby Hospital¬Choice of food¬96.39%¬96.39% Amongst the best
18360¬NT213¬Nuffield Health, Derby Hospital¬Food available between meals¬1¬
18360¬NT213¬Nuffield Health, Derby Hospital¬Fresh fruit available¬1¬
18360¬NT213¬Nuffield Health, Derby Hospital¬Percentage of patients waiting less than 18 weeks¬91%¬91% of patients waiting less than 18 weeks from referral
18360¬NT213¬Nuffield Health, Derby Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 88 responses
18360¬NT213¬Nuffield Health, Derby Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 88 responses
18360¬NT213¬Nuffield Health, Derby Hospital¬Menu approved by dietitian¬1¬
18360¬NT213¬Nuffield Health, Derby Hospital¬Health Improvement following hip replacement:  Condition specific quality of life questionnaire¬¬As expected
18360¬NT213¬Nuffield Health, Derby Hospital¬Health Improvement following knee replacement: Condition specific quality of life questionnaire¬¬Better than expected
18360¬NT213¬Nuffield Health, Derby Hospital¬Quality of food¬95.76%¬95.76% Amongst the best
18361¬NT214¬Nuffield Health, Wessex Hospital¬Care Quality Commission inspection ratings¬2¬Good
18361¬NT214¬Nuffield Health, Wessex Hospital¬Care Quality Commission inspection ratings¬2¬Good
18361¬NT214¬Nuffield Health, Wessex Hospital¬Care Quality Commission inspection ratings¬2¬Good
18361¬NT214¬Nuffield Health, Wessex Hospital¬Choice of breakfast¬1¬Amongst the best
18361¬NT214¬Nuffield Health, Wessex Hospital¬Choice of food¬95.31%¬95.31% Amongst the best
18361¬NT214¬Nuffield Health, Wessex Hospital¬Food available between meals¬1¬
18361¬NT214¬Nuffield Health, Wessex Hospital¬Fresh fruit available¬1¬
18361¬NT214¬Nuffield Health, Wessex Hospital¬Percentage of patients waiting less than 18 weeks¬81%¬81% of patients waiting less than 18 weeks from referral
18361¬NT214¬Nuffield Health, Wessex Hospital¬Friends and Family Test score: Inpatient¬96%¬Patients recommend this hospital. 25 responses
18361¬NT214¬Nuffield Health, Wessex Hospital¬Friends and Family Test score: Inpatient¬96%¬Patients recommend this hospital. 25 responses
18361¬NT214¬Nuffield Health, Wessex Hospital¬Menu approved by dietitian¬1¬
18361¬NT214¬Nuffield Health, Wessex Hospital¬Patients assessed for blood clots¬84.74¬84.74% of patients assessed
18361¬NT214¬Nuffield Health, Wessex Hospital¬Health Improvement following hip replacement:  Condition specific quality of life questionnaire¬¬As expected
18361¬NT214¬Nuffield Health, Wessex Hospital¬Health Improvement following knee replacement: Condition specific quality of life questionnaire¬¬As expected
18361¬NT214¬Nuffield Health, Wessex Hospital¬Quality of food¬95.60%¬95.60% Amongst the best
18362¬NT215¬Nuffield Health, Exeter Hospital¬Care Quality Commission inspection ratings¬2¬Good
18362¬NT215¬Nuffield Health, Exeter Hospital¬Care Quality Commission inspection ratings¬2¬Good
18362¬NT215¬Nuffield Health, Exeter Hospital¬Care Quality Commission inspection ratings¬2¬Good
18362¬NT215¬Nuffield Health, Exeter Hospital¬Choice of breakfast¬1¬Amongst the best
18362¬NT215¬Nuffield Health, Exeter Hospital¬Choice of food¬88.93%¬88.93% Amongst the best
18362¬NT215¬Nuffield Health, Exeter Hospital¬Food available between meals¬1¬
18362¬NT215¬Nuffield Health, Exeter Hospital¬Fresh fruit available¬1¬
18362¬NT215¬Nuffield Health, Exeter Hospital¬Percentage of patients waiting less than 18 weeks¬100%¬100% of patients waiting less than 18 weeks from referral
18362¬NT215¬Nuffield Health, Exeter Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 16 responses
18362¬NT215¬Nuffield Health, Exeter Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 16 responses
18362¬NT215¬Nuffield Health, Exeter Hospital¬Menu approved by dietitian¬1¬
18362¬NT215¬Nuffield Health, Exeter Hospital¬Quality of food¬96.84%¬96.84% Amongst the best
18363¬NT216¬Nuffield Health, Guildford Hospital¬Care Quality Commission inspection ratings¬2¬Good
18363¬NT216¬Nuffield Health, Guildford Hospital¬Care Quality Commission inspection ratings¬2¬Good
18363¬NT216¬Nuffield Health, Guildford Hospital¬Care Quality Commission inspection ratings¬2¬Good
18363¬NT216¬Nuffield Health, Guildford Hospital¬Choice of breakfast¬1¬Amongst the best
18363¬NT216¬Nuffield Health, Guildford Hospital¬Choice of food¬94.59%¬94.59% Amongst the best
18363¬NT216¬Nuffield Health, Guildford Hospital¬Food available between meals¬1¬
18363¬NT216¬Nuffield Health, Guildford Hospital¬Fresh fruit available¬1¬
18363¬NT216¬Nuffield Health, Guildford Hospital¬Menu approved by dietitian¬1¬
18363¬NT216¬Nuffield Health, Guildford Hospital¬Quality of food¬98.19%¬98.19% Amongst the best
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Care Quality Commission inspection ratings¬2¬Good
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Care Quality Commission inspection ratings¬2¬Good
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Care Quality Commission inspection ratings¬2¬Good
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Choice of breakfast¬1¬Amongst the best
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Choice of food¬97.25%¬97.25% Amongst the best
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Food available between meals¬1¬
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Fresh fruit available¬1¬
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Percentage of patients waiting less than 18 weeks¬89%¬89% of patients waiting less than 18 weeks from referral
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Friends and Family Test score: Inpatient¬93%¬Patients recommend this hospital. 14 responses
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Friends and Family Test score: Inpatient¬93%¬Patients recommend this hospital. 14 responses
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Menu approved by dietitian¬1¬
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Patients assessed for blood clots¬100¬100% of patients assessed
18365¬NT218¬Nuffield Health, Haywards Heath Hospital¬Quality of food¬97.69%¬97.69% Amongst the best
18366¬NT219¬Nuffield Health, Hereford Hospital¬Care Quality Commission inspection ratings¬2¬Good
18366¬NT219¬Nuffield Health, Hereford Hospital¬Care Quality Commission inspection ratings¬2¬Good
18366¬NT219¬Nuffield Health, Hereford Hospital¬Care Quality Commission inspection ratings¬2¬Good
18366¬NT219¬Nuffield Health, Hereford Hospital¬Percentage of patients waiting less than 18 weeks¬97%¬97% of patients waiting less than 18 weeks from referral
18366¬NT219¬Nuffield Health, Hereford Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 28 responses
18366¬NT219¬Nuffield Health, Hereford Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 28 responses
18366¬NT219¬Nuffield Health, Hereford Hospital¬Patients assessed for blood clots¬100¬100% of patients assessed
18366¬NT219¬Nuffield Health, Hereford Hospital¬Health Improvement following hip replacement:  Condition specific quality of life questionnaire¬¬As expected
18366¬NT219¬Nuffield Health, Hereford Hospital¬Health Improvement following knee replacement: Condition specific quality of life questionnaire¬¬As expected
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Care Quality Commission inspection ratings¬2¬Good
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Care Quality Commission inspection ratings¬2¬Good
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Care Quality Commission inspection ratings¬2¬Good
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Choice of breakfast¬1¬Amongst the best
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Choice of food¬95.31%¬95.31% Amongst the best
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Food available between meals¬1¬
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Fresh fruit available¬2¬
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Menu approved by dietitian¬1¬
18367¬NT222¬Nuffield Health, Ipswich Hospital¬Quality of food¬93.91%¬93.91% Amongst the best
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Care Quality Commission inspection ratings¬2¬Good
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Care Quality Commission inspection ratings¬2¬Good
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Care Quality Commission inspection ratings¬2¬Good
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Choice of breakfast¬1¬Amongst the best
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Choice of food¬94.93%¬94.93% Amongst the best
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Food available between meals¬1¬
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Fresh fruit available¬1¬
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Percentage of patients waiting less than 18 weeks¬93%¬93% of patients waiting less than 18 weeks from referral
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 10 responses
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 10 responses
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Menu approved by dietitian¬1¬
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Health Improvement following hip replacement:  Condition specific quality of life questionnaire¬¬As expected
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Health Improvement following knee replacement: Condition specific quality of life questionnaire¬¬As expected
18368¬NT224¬Nuffield Health, Warwickshire Hospital¬Quality of food¬97.37%¬97.37% Amongst the best
18369¬NT225¬Nuffield Health, Leeds Hospital¬Care Quality Commission inspection ratings¬1¬Outstanding
18369¬NT225¬Nuffield Health, Leeds Hospital¬Care Quality Commission inspection ratings¬1¬Outstanding
18369¬NT225¬Nuffield Health, Leeds Hospital¬Care Quality Commission inspection ratings¬1¬Outstanding
18369¬NT225¬Nuffield Health, Leeds Hospital¬Percentage of patients waiting less than 18 weeks¬95%¬95% of patients waiting less than 18 weeks from referral
